Index	Sample Well	Sample ID	Sample Plate	Call Rate	Genotype for 11_10646	GC Score for 11_10646	Array Info.Sentrix ID	Array Info.Sentrix Position
95	G12	BAROREI1055	OREI2024UMN-B3K-11	0.9342707	BB	0.7506766	208182490069	R10C02
171	C10	BAROREI1131	OREI2024UMN-B3K-12	0.9342707	BB	0.4023888	208182490077	R05C01
3	C01	BAROREI963	OREI2024UMN-B3K-11	0.9345978	BB	0.4954109	208182490036	R05C01
38	F05	25BS-NAM-091	OREI2024UMN-B3K-11	0.9349248	BB	0.2028579	208182490057	R03C02
86	F11	BAROREI1046	OREI2024UMN-B3K-11	0.9352518	BB	0.2270813	208182490069	R03C02
194	B01	25BS-NAM-125	OREI2024UMN-B3K-13	0.9352518	NC	0.1091286	208307680044	R03C01
113	A03	25BS-NAM-108	OREI2024UMN-B3K-12	0.9362328	BB	0.8842305	208182490073	R09C02
223	G04	BAROREI1183	OREI2024UMN-B3K-13	0.9362328	BB	0.3467463	208307680059	R02C01
39	G05	BAROREI999	OREI2024UMN-B3K-11	0.9365599	NC	-0.3322341	208182490057	R05C02
64	H08	BAROREI1024	OREI2024UMN-B3K-11	0.9365599	BB	0.340908	208182490065	R07C02
273	A11	BAROREI1233	OREI2024UMN-B3K-13	0.9368868	NC	-0.3248182	208307680069	R06C01
102	F01	25BS-NAM-107	OREI2024UMN-B3K-12	0.9372138	BB	0.7775093	208182490073	R11C01
120	H03	BAROREI1080	OREI2024UMN-B3K-12	0.9372138	BB	0.8597108	208182490073	R12C02
85	E11	BAROREI1045	OREI2024UMN-B3K-11	0.9375409	BB	0.3100165	208182490069	R01C02
7	G01	BAROREI967	OREI2024UMN-B3K-11	0.9381949	BB	0.3221121	208182490036	R02C01
101	E01	BAROREI1061	OREI2024UMN-B3K-12	0.9381949	BB	0.6273312	208182490073	R09C01
209	A03	BAROREI1169	OREI2024UMN-B3K-13	0.9381949	BB	0.321914	208307680044	R09C02
122	B04	BAROREI1082	OREI2024UMN-B3K-12	0.9385219	BB	0.693599	208182490074	R03C01
161	A09	BAROREI1121	OREI2024UMN-B3K-12	0.9385219	BB	0.8963379	208182490076	R09C02
179	C11	BAROREI1139	OREI2024UMN-B3K-12	0.9388489	BB	0.4872366	208182490077	R10C01
115	C03	25BS-NAM-109	OREI2024UMN-B3K-12	0.9391759	BB	0.767606	208182490073	R02C02
281	A12	BAROREI1241	OREI2024UMN-B3K-13	0.939503	BB	0.5829046	208307680069	R09C02
1	A01	25BS-NAM-085	OREI2024UMN-B3K-11	0.9401569	BB	0.2824494	208182490036	R01C01
280	H11	BAROREI1240	OREI2024UMN-B3K-13	0.940484	NC	-0.3370795	208307680069	R07C02
215	G03	BAROREI1175	OREI2024UMN-B3K-13	0.940811	BB	0.4392525	208307680044	R10C02
4	D01	25BS-NAM-086	OREI2024UMN-B3K-11	0.941465	BB	0.4822526	208182490036	R07C01
129	A05	BAROREI1089	OREI2024UMN-B3K-12	0.941465	BB	0.8244542	208182490074	R06C01
97	A01	BAROREI1057	OREI2024UMN-B3K-12	0.942119	BB	0.4257949	208182490073	R01C01
35	C05	BAROREI995	OREI2024UMN-B3K-11	0.9424461	NC	-0.3466632	208182490057	R10C01
73	A10	BAROREI1033	OREI2024UMN-B3K-11	0.9424461	BB	0.158211	208182490069	R01C01
154	B08	BAROREI1114	OREI2024UMN-B3K-12	0.9424461	BB	0.9348432	208182490076	R08C01
127	G04	BAROREI1087	OREI2024UMN-B3K-12	0.942773	BB	0.8183284	208182490074	R02C01
139	C06	BAROREI1099	OREI2024UMN-B3K-12	0.942773	BB	0.4871534	208182490074	R02C02
197	E01	BAROREI1157	OREI2024UMN-B3K-13	0.942773	BB	0.4607268	208307680044	R09C01
327	G05	BAROREI1287	OREI2024UMN-B3K-14	0.942773	BB	0.682556	208307680077	R10C01
272	H10	BAROREI1232	OREI2024UMN-B3K-13	0.9434271	NC	-0.341638	208307680069	R04C01
282	B12	25BS-NAM-148	OREI2024UMN-B3K-13	0.9440811	NC	-0.3092178	208307680069	R11C02
55	G07	BAROREI1015	OREI2024UMN-B3K-11	0.9450622	BB	0.3675518	208182490065	R02C01
118	F03	BAROREI1078	OREI2024UMN-B3K-12	0.9450622	BB	0.9152717	208182490073	R08C02
325	E05	BAROREI1285	OREI2024UMN-B3K-14	0.9460432	BB	0.5480201	208307680077	R10C02
166	F09	BAROREI1126	OREI2024UMN-B3K-12	0.9463702	BB	0.8249231	208182490076	R08C02
228	D05	BAROREI1188	OREI2024UMN-B3K-13	0.9463702	BB	0.5637297	208307680059	R12C01
65	A09	BAROREI1025	OREI2024UMN-B3K-11	0.9466972	BB	0.2640908	208182490065	R09C02
145	A07	BAROREI1105	OREI2024UMN-B3K-12	0.9470242	BB	0.6639386	208182490076	R01C01
213	E03	BAROREI1173	OREI2024UMN-B3K-13	0.9470242	BB	0.3955594	208307680044	R06C02
117	E03	BAROREI1077	OREI2024UMN-B3K-12	0.9473512	BB	0.8264108	208182490073	R06C02
142	F06	25BS-NAM-116	OREI2024UMN-B3K-12	0.9473512	BB	0.5344998	208182490074	R08C02
143	G06	BAROREI1103	OREI2024UMN-B3K-12	0.9473512	BB	0.501358	208182490074	R10C02
150	F07	BAROREI1110	OREI2024UMN-B3K-12	0.9473512	BB	0.8611295	208182490076	R11C01
149	E07	BAROREI1109	OREI2024UMN-B3K-12	0.9476782	BB	0.9583537	208182490076	R09C01
224	H04	BAROREI1184	OREI2024UMN-B3K-13	0.9476782	BB	0.4431703	208307680059	R04C01
230	F05	BAROREI1190	OREI2024UMN-B3K-13	0.9476782	BB	0.4777084	208307680059	R03C02
57	A08	BAROREI1017	OREI2024UMN-B3K-11	0.9480053	BB	0.4151793	208182490065	R06C01
99	C01	BAROREI1059	OREI2024UMN-B3K-12	0.9480053	BB	0.9001591	208182490073	R05C01
6	F01	25BS-NAM-087	OREI2024UMN-B3K-11	0.9483323	BB	0.4827922	208182490036	R11C01
103	G01	BAROREI1063	OREI2024UMN-B3K-12	0.9483323	BB	0.6249295	208182490073	R02C01
164	D09	25BS-NAM-121	OREI2024UMN-B3K-12	0.9489863	BB	0.8362786	208182490076	R04C02
148	D07	25BS-NAM-119	OREI2024UMN-B3K-12	0.9493133	BB	0.8041024	208182490076	R07C01
231	G05	BAROREI1191	OREI2024UMN-B3K-13	0.9496403	BB	0.5133222	208307680059	R05C02
30	F04	BAROREI990	OREI2024UMN-B3K-11	0.9509484	NC	-0.3381896	208182490057	R11C01
140	D06	BAROREI1100	OREI2024UMN-B3K-12	0.9509484	BB	0.4496197	208182490074	R04C02
169	A10	BAROREI1129	OREI2024UMN-B3K-12	0.9509484	BB	0.2146452	208182490077	R01C01
214	F03	25BS-NAM-131	OREI2024UMN-B3K-13	0.9509484	BB	0.5147769	208307680044	R08C02
196	D01	BAROREI1156	OREI2024UMN-B3K-13	0.9516023	BB	0.5080112	208307680044	R07C01
163	C09	BAROREI1123	OREI2024UMN-B3K-12	0.9519294	BB	0.9149796	208182490076	R02C02
100	D01	BAROREI1060	OREI2024UMN-B3K-12	0.9522564	BB	0.7875906	208182490073	R07C01
165	E09	BAROREI1125	OREI2024UMN-B3K-12	0.9538915	BB	0.7546915	208182490076	R06C02
141	E06	BAROREI1101	OREI2024UMN-B3K-12	0.9548725	BB	0.5105851	208182490074	R06C02
33	A05	BAROREI993	OREI2024UMN-B3K-11	0.9555265	BB	0.2473184	208182490057	R06C01
98	B01	25BS-NAM-106	OREI2024UMN-B3K-12	0.9584696	BB	0.7208737	208182490073	R03C01
241	A07	25BS-NAM-137	OREI2024UMN-B3K-13	0.9614127	BB	0.2941459	208307680061	R01C01
322	B05	BAROREI1282	OREI2024UMN-B3K-14	0.9650098	BB	0.1766354	208307680086	R09C02
67	C09	BAROREI1027	OREI2024UMN-B3K-11	0.9689339	BB	0.2188679	208182490065	R02C02
